Feature,Importance
AQI_rolling_mean_7,0.1454531976783345
PM2.5,0.08776416304353221
PM2.5_lag1,0.0815648438005087
PM10,0.067495352771701
AQI_lag7,0.049001808823151645
AQI_lag1,0.04632039844368058
O3,0.03126115483899798
DayOfYear,0.023646531585111683
NH3,0.0163367144193307
AQI_rolling_std_7,0.01336785677853973
NOx,0.006249724431794415
NO2,0.006222607742979541
DayOfWeek,0.002151335287169476
NO,0.0020636625160363716
SO2,0.0012852074419479817
City_Encoded,0.0011496454055324476
IsWeekend,0.001109076148005115
Season,0.0008961137102996074
NOx_NO2_ratio,0.0007962940137753707
CO,0.0006866859100884846
PM_ratio,0.000639895483550027
Month,0.0003176260129708595
Quarter,0.00012802133497370304
Xylene,0.0
Toluene,0.0
Benzene,0.0
